collection_template,metric_slug
vsme_v1,biodiversity_sensitive_sites
vsme_v1,biodiversity_land_use_sqkm
vsme_v1,biodiversity_land_sealed_use_sqkm
vsme_v1,biodiversity_nature_onsite_sqkm
vsme_v1,biodiversity_nature_offsite_sqkm
vsme_v1,ghg_scope_1_tonnes
vsme_v1,ghg_scope_2_tonnes
vsme_v1,ghg_scope_3_tonnes
vsme_v1,air_pollutants_tonnes
vsme_v1,emissions_to_soil_tonnes
vsme_v1,energy_consumption_fossil_kwh
vsme_v1,energy_consumption_elec_renewable_kwh
vsme_v1,energy_consumption_elec_non_renewable_kwh
vsme_v1,waste_recycled_tonnes
vsme_v1,waste_hazardous_tonnes
vsme_v1,recycled_product_bought_sold
vsme_v1,recycled_product_content_pct
vsme_v1,waste_by_type_tonnes
vsme_v1,emissions_to_water_tonnes
vsme_v1,water_consumption_m3
vsme_v1,water_consumption_stress_area_m3
vsme_v1,gender_pay_gap_pct
vsme_v1,comp_entry_to_minimum_pct
vsme_v1,collective_bargain_agreement_pct
vsme_v1,employee_training_avrg_man_hours
vsme_v1,employee_training_avrg_woman_hours
vsme_v1,employee_permanent_count
vsme_v1,employee_temp_count
vsme_v1,employee_permanent_man_count
vsme_v1,employee_permanent_woman_count
vsme_v1,employee_permanent_per_country_count
vsme_v1,accidents_count
vsme_v1,fatalities_count
